ID;slug;label;sortOrder
c0a7e9f1-1101-4001-8001-000000000001;app-dev-automation;Application Development & Automation;10
c0a7e9f1-1101-4001-8001-000000000002;data-analytics;Data & Analytics;20
c0a7e9f1-1101-4001-8001-000000000003;extended-planning;Extended Planning & Analysis;30
c0a7e9f1-1101-4001-8001-000000000004;integration;Integration;40
c0a7e9f1-1101-4001-8001-000000000005;artificial-intelligence;Artificial Intelligence;50
c0a7e9f1-1101-4001-8001-000000000006;frontend-ux;Frontend & UX;60
c0a7e9f1-1101-4001-8001-000000000007;cloud-operations;Cloud & Operations;70
c0a7e9f1-1101-4001-8001-000000000008;abap-core;ABAP & Core;80
