ID;verbKey;label;iconName;sortOrder
66333900-0759-0001-0001-000000000001;LEARN;Learn;learning-assistant;10
66333900-0759-0001-0001-000000000002;BUILD;Build;developer-settings;20
66333900-0759-0001-0001-000000000003;INTEGRATE;Integrate;chain-link;30
66333900-1029-0001-0001-000000000007;MODEL;Model;database;35
66333900-0759-0001-0001-000000000004;OPERATE;Operate;settings;40
66333900-0759-0001-0001-000000000005;AI;Extend with AI;da;50
66333900-0759-0001-0001-000000000006;CONNECT;Connect;customer-and-contacts;60
